SiO2,Al2O3,Fe2O3tot,CaO,Total,Ti,Rb,Nb,La,Ce,Sm,Yb,LaN,CeN,SmN,YbN,La/Nb,Rb/Sm,Nb/La,Nb/Yb,Nb/Rb,La/Sm,La/Yb,(La/Yb)N,Sm/Yb,(Sm/Yb)N,SiO2(LOI free),TiO2(LOI free),Al2O3(LOI free),Fe2O3(LOI free),MgO(LOI free),CaO(LOI free),Na2O(LOI free),Label,Id
51.4,17.3,5.99,8.9,100.19,3177.0,54.0,3.0,7.0,14.0,1.6,1.31,21.4,17.2,8.4,6.3,2.0,32.6,0.49,2.48,0.06,4.0,5.1,3.4,1.3,1.3,52.57,0.54,17.69,6.13,9.25,9.1,3.15,1,1334
48.02,18.98,8.01,12.62,99.53,9352.0,3.0,9.0,12.0,28.0,4.7,2.35,39.4,34.9,24.1,11.2,1.4,0.57,0.7,3.66,3.19,2.6,5.2,3.5,2.0,2.14,48.62,1.58,19.22,8.11,5.9,12.78,2.74,1,736
55.92,17.89,6.69,2.95,98.48,5899.0,176.0,17.0,44.0,81.0,6.5,2.72,140.9,100.3,33.5,13.0,2.6,27.0,0.39,6.26,0.1,7.0,16.0,11.0,2.4,2.6,57.32,1.01,18.34,6.85,1.62,3.02,4.53,1,964
57.01,17.2,7.7,5.7,98.98,3957.0,175.0,15.0,37.0,73.0,6.3,1.9,118.1,90.3,32.3,9.1,2.4,27.8,0.41,7.89,0.09,5.8,19.3,13.0,3.3,3.6,57.91,0.67,17.47,7.82,2.19,5.79,3.15,1,2494
49.48,14.01,11.26,6.15,97.08,9892.0,10.0,56.0,54.0,90.0,8.0,2.69,173.5,111.0,41.2,12.9,1.0,1.26,1.04,20.78,5.53,6.7,20.0,13.5,2.99,3.2,53.48,1.78,15.14,12.17,4.6,6.65,4.73,1,650
64.61,16.58,1.64,0.49,99.42,2098.0,309.0,9.0,30.0,56.0,2.2,0.49,95.2,68.8,11.1,2.3,3.3,142.8,0.31,18.37,0.03,13.7,60.2,40.6,4.4,4.7,66.53,0.36,17.07,1.69,0.19,0.5,0.38,0,2346
51.5,17.32,8.43,9.03,101.23,5809.0,15.0,8.0,10.0,21.0,3.1,2.02,31.2,25.5,15.7,9.7,1.3,4.92,0.8,3.82,0.51,3.2,4.8,3.2,1.51,1.62,51.82,0.98,17.43,8.48,7.71,9.09,3.6,0,299
54.01,16.42,7.31,5.05,99.8,3117.0,81.0,3.0,14.0,29.0,3.4,1.31,43.9,35.6,17.4,6.3,4.3,23.7,0.24,2.44,0.04,4.0,10.4,7.0,2.6,2.8,55.85,0.54,16.98,7.56,4.24,5.22,6.04,1,2325
53.25,20.57,10.77,6.06,104.36,5276.0,132.0,9.0,21.0,40.0,5.0,1.83,67.0,49.5,25.5,8.8,2.4,26.5,0.42,4.8,0.07,4.2,11.3,7.7,2.7,2.9,51.89,0.86,20.05,10.5,2.11,5.91,4.05,1,1973
69.05,16.35,0.73,1.21,99.43,2398.0,118.0,10.0,32.0,59.0,2.5,0.57,103.5,73.4,13.0,2.7,3.1,46.5,0.32,18.07,0.09,12.6,56.3,38.0,4.5,4.8,72.05,0.42,17.06,0.76,0.31,1.26,3.88,0,2349
47.7,12.5,8.03,11.39,98.52,5653.29,22.0,9.0,57.0,120.0,9.6,1.25,184.8,148.5,49.4,6.0,6.1,2.26,0.16,7.56,0.43,5.94,45.84,30.91,7.71,8.27,49.18,0.97,12.89,8.28,10.0,11.74,3.83,2,2924
70.63,17.13,3.3,0.88,100.05,5156.0,23.0,9.0,5.0,13.0,1.0,0.51,15.1,16.0,5.1,2.4,0.5,23.2,1.83,16.8,0.37,4.7,9.2,6.2,1.9,2.1,71.57,0.87,17.36,3.34,0.14,0.89,4.85,1,2420
57.7,16.2,5.58,6.03,95.59,5995.0,58.0,25.0,60.0,112.0,6.6,1.2,193.2,138.6,33.8,5.7,2.4,8.73,0.42,20.83,0.43,9.08,49.92,33.65,5.5,5.89,60.55,1.05,17.0,5.86,0.0,6.33,5.25,2,2002
51.84,14.72,8.69,7.22,100.87,3597.0,94.0,8.0,34.0,61.0,5.4,3.33,108.1,75.2,27.7,15.9,4.2,17.4,0.24,2.4,0.09,6.2,10.1,6.8,1.6,1.7,55.25,0.64,15.69,9.26,2.14,7.69,4.16,1,2902
64.8,15.3,2.99,3.16,96.33,2937.55,76.0,17.0,41.0,70.0,3.5,0.8,133.5,87.0,17.9,3.8,2.4,21.74,0.41,21.25,0.22,11.83,51.75,34.89,4.38,4.69,68.19,0.52,16.1,3.15,0.0,3.33,4.95,2,2023
51.6,19.4,5.16,7.33,97.91,3837.0,146.0,8.0,42.0,82.0,8.1,2.51,134.2,101.1,41.5,12.0,5.5,18.0,0.18,3.03,0.05,5.1,16.6,11.2,3.2,3.5,53.5,0.66,20.12,5.35,2.55,7.6,3.75,0,2378
48.68,19.6,9.99,10.55,99.37,7134.0,1.0,5.0,23.0,49.0,4.8,0.8,72.9,60.6,24.6,3.8,4.2,0.21,0.24,6.75,5.4,4.7,28.3,19.0,6.0,6.43,49.26,1.2,19.83,10.11,4.51,10.68,3.0,1,772
64.4,16.7,3.93,4.27,99.23,2698.0,30.0,5.0,24.0,48.0,3.5,0.6,78.4,58.9,18.1,2.9,5.0,8.4,0.2,8.17,0.17,6.9,40.5,27.3,5.9,6.3,65.81,0.46,17.07,4.02,0.87,4.36,5.21,2,1260
66.05,16.0,3.8,2.8,99.89,2818.0,171.0,11.0,38.0,69.0,5.0,1.1,122.9,85.4,25.6,5.3,3.5,34.2,0.29,10.0,0.06,7.6,34.6,23.4,4.5,4.9,66.42,0.47,16.09,3.82,0.94,2.82,3.42,1,2506
70.63,14.19,2.75,2.27,98.99,1439.0,141.0,10.0,23.0,40.0,2.4,1.34,74.8,49.5,12.5,6.4,2.4,57.8,0.41,7.11,0.07,9.5,17.3,11.7,1.8,2.0,72.04,0.24,14.47,2.8,0.5,2.32,3.87,0,2615
56.8,25.8,0.56,7.67,100.07,1559.0,29.0,0.0,2.0,3.0,0.1,0.15,7.4,3.8,0.6,0.7,5.8,238.33,0.17,2.67,0.01,19.2,15.3,10.3,0.8,0.86,57.44,0.26,26.09,0.57,0.2,7.76,6.91,1,247
64.41,16.85,3.18,3.38,98.12,2518.0,48.0,15.0,40.0,58.0,2.6,1.6,129.0,71.8,13.3,7.7,2.7,18.5,0.38,9.38,0.31,15.4,25.0,16.9,1.6,1.7,65.64,0.43,17.17,3.24,1.76,3.44,5.14,0,2243
55.58,15.39,4.75,8.36,97.69,5150.0,44.0,13.0,34.0,62.0,4.6,1.65,110.6,77.2,23.7,7.9,2.7,9.6,0.38,7.84,0.29,7.0,21.0,14.0,2.8,3.0,58.37,0.9,16.16,4.98,4.17,8.78,3.74,1,970
65.45,16.12,2.68,3.96,99.05,2577.85,39.0,14.0,36.0,62.0,3.5,0.74,115.5,76.9,17.7,3.5,2.6,11.27,0.39,18.92,0.36,10.35,48.38,32.62,4.68,5.01,66.84,0.44,16.46,2.74,2.48,4.04,4.79,2,2574
45.04,13.61,9.85,10.72,99.49,12024.0,43.0,44.0,109.0,206.0,12.4,1.71,350.9,255.3,63.6,8.2,2.5,3.46,0.4,25.66,1.02,8.8,63.7,43.0,7.27,7.79,45.89,2.04,13.86,10.03,10.01,10.92,5.19,2,402
67.29,15.58,2.39,3.07,99.94,2577.85,68.0,18.0,54.0,87.0,3.9,0.72,174.8,107.2,20.0,3.4,3.1,17.44,0.32,24.31,0.26,13.9,75.28,50.75,5.42,5.81,68.82,0.44,15.94,2.44,0.99,3.14,4.95,2,1756
72.12,14.17,2.3,2.34,99.65,1739.0,300.0,14.0,30.0,59.0,5.4,4.4,96.8,73.0,27.4,21.1,2.1,56.1,0.47,3.18,0.05,5.6,6.8,4.6,1.2,1.3,73.01,0.29,14.35,2.33,0.27,2.37,1.96,0,1812
60.7,16.85,4.8,4.61,100.35,2998.0,108.0,14.0,29.0,52.0,3.3,1.96,93.9,64.2,17.0,9.4,2.1,32.5,0.47,6.99,0.13,8.8,14.8,10.0,1.7,1.8,62.78,0.52,17.43,4.96,2.29,4.77,3.88,0,1890
54.38,17.73,8.13,7.9,99.61,4856.0,65.0,13.0,25.0,48.0,3.9,1.64,81.3,59.7,19.9,7.8,1.9,16.71,0.52,7.93,0.2,6.5,15.4,10.4,2.37,2.54,55.42,0.83,18.07,8.28,3.31,8.05,3.19,1,586
63.4,16.06,4.96,5.37,99.73,2698.0,38.0,4.0,23.0,47.0,4.2,1.5,75.2,58.2,21.5,7.2,5.5,9.12,0.18,2.8,0.11,5.5,15.5,10.5,2.8,3.0,64.48,0.46,16.33,5.04,1.39,5.46,4.72,2,363
62.3,15.7,3.78,4.6,95.12,3656.95,53.0,16.0,43.0,73.0,4.0,0.8,139.4,90.3,20.5,3.8,2.7,13.25,0.37,20.0,0.3,10.8,54.0,36.41,5.0,5.36,65.65,0.64,16.55,3.98,0.0,4.85,5.16,2,2018
45.15,13.48,8.83,9.74,99.21,6595.0,224.0,34.0,81.0,160.0,13.0,2.36,262.6,197.5,66.5,11.3,2.4,17.25,0.42,14.45,0.15,6.3,34.5,23.3,5.49,5.89,48.49,1.18,14.48,9.48,6.19,10.46,3.89,0,200
63.16,14.34,3.04,3.41,100.27,2518.0,153.0,10.0,35.0,58.0,3.2,1.0,112.9,71.8,16.4,4.8,3.5,47.8,0.29,10.0,0.07,10.9,35.0,23.6,3.2,3.4,67.5,0.45,15.33,3.25,1.88,3.64,2.73,0,2075
53.8,19.35,4.79,5.96,98.81,4077.0,156.0,11.0,39.0,70.0,5.7,2.08,124.2,86.3,29.1,10.0,3.6,27.4,0.28,5.1,0.07,6.8,18.5,12.5,2.7,2.9,55.21,0.7,19.86,4.92,2.03,6.12,5.04,0,2388
62.32,16.54,4.11,4.56,100.51,3153.0,46.0,6.0,26.0,50.0,3.7,0.83,84.5,61.4,18.9,4.0,4.3,12.5,0.23,7.35,0.13,7.1,31.6,21.3,4.4,4.8,64.11,0.54,17.02,4.23,1.83,4.69,4.78,0,2395
65.33,16.19,3.96,4.14,99.86,2758.0,82.0,8.0,25.0,47.0,3.3,0.57,80.7,58.7,16.9,2.7,3.1,24.98,0.33,14.26,0.1,7.6,43.9,29.6,5.79,6.21,65.97,0.46,16.35,4.0,1.53,4.18,4.43,0,1014
61.77,16.84,4.69,5.47,100.03,3597.0,55.0,7.0,26.0,50.0,4.5,1.0,82.6,61.3,23.1,4.8,3.5,12.1,0.29,7.4,0.14,5.7,25.6,17.3,4.5,4.8,62.14,0.6,16.94,4.72,2.43,5.5,4.91,2,1294
45.57,13.54,9.94,11.24,100.31,7973.35,38.0,26.0,50.0,96.0,6.5,2.06,161.9,118.3,33.3,9.9,1.9,5.88,0.52,12.67,0.68,7.72,24.37,16.43,3.16,3.38,46.73,1.36,13.89,10.2,10.47,11.53,3.4,2,2681
48.69,14.35,10.09,8.84,99.92,13369.0,15.0,67.0,32.0,63.0,7.1,1.5,102.9,78.0,36.4,7.2,0.5,2.17,2.1,44.67,4.35,4.49,21.27,14.34,4.73,5.07,49.5,2.27,14.59,10.26,7.07,8.99,4.79,2,934
65.98,16.13,7.25,2.02,103.04,2578.0,101.0,9.0,42.0,70.0,4.1,0.81,135.5,86.6,21.2,3.9,4.8,24.5,0.21,10.74,0.09,10.2,51.9,35.0,5.1,5.5,65.16,0.42,15.93,7.16,1.72,1.99,4.41,0,1618
60.78,19.06,6.6,2.47,99.38,4796.0,129.0,17.0,51.0,102.0,8.4,2.84,164.2,125.6,43.1,13.6,3.0,15.3,0.33,5.88,0.13,6.1,17.9,12.1,3.0,3.2,62.03,0.82,19.45,6.74,1.82,2.52,3.85,1,1592
54.43,18.6,7.36,7.57,97.74,5695.0,73.0,13.0,29.0,55.0,5.5,2.7,93.5,67.5,28.2,12.9,2.2,13.31,0.45,4.81,0.18,5.3,10.7,7.2,2.04,2.18,55.69,0.97,19.03,7.53,2.53,7.75,3.28,1,21
52.52,17.44,7.49,8.47,98.35,5396.0,14.0,8.0,16.0,35.0,3.7,1.73,51.6,42.8,19.0,8.3,1.9,3.7,0.53,4.87,0.62,4.3,9.2,6.2,2.1,2.3,53.57,0.92,17.79,7.64,6.19,8.64,3.98,0,1237
60.66,16.07,4.78,3.65,98.85,3837.0,267.0,18.0,23.0,75.0,4.3,2.45,75.5,93.3,21.9,11.7,1.3,62.4,0.75,7.18,0.07,5.5,9.6,6.4,1.7,1.9,63.42,0.67,16.8,5.0,0.79,3.82,3.14,0,1736
70.22,16.14,1.94,2.76,100.36,2098.25,60.0,3.0,24.0,42.0,2.9,0.26,76.1,51.5,14.9,1.2,7.4,20.66,0.14,12.27,0.05,8.14,90.77,61.2,11.15,11.95,70.32,0.35,16.16,1.94,0.64,2.76,4.86,2,2115
70.26,15.28,2.27,2.38,98.31,2021.0,13.0,6.0,18.0,33.0,2.4,2.2,58.0,40.3,12.4,10.5,2.8,5.5,0.36,2.93,0.49,7.4,8.2,5.5,1.1,1.2,72.1,0.35,15.68,2.32,0.49,2.44,5.96,1,2309
51.53,14.14,6.23,6.78,99.9,6115.0,81.0,19.0,51.0,89.0,6.6,1.7,164.5,110.1,33.8,8.1,2.7,12.3,0.37,11.18,0.23,7.7,30.0,20.2,3.9,4.2,55.35,1.1,15.19,6.69,6.51,7.28,3.31,0,2078
68.8,14.4,3.73,2.93,100.8,2218.0,132.0,12.0,24.0,49.0,4.0,2.68,76.1,60.9,20.6,12.8,2.0,32.9,0.5,4.37,0.09,5.9,8.8,5.9,1.5,1.6,69.22,0.37,14.49,3.75,0.37,2.95,3.51,1,2434
68.81,15.95,2.68,2.1,99.86,1619.0,132.0,9.0,20.0,34.0,2.4,1.6,63.2,42.1,12.4,7.7,2.2,54.6,0.45,5.5,0.07,8.1,12.3,8.3,1.5,1.6,69.66,0.27,16.15,2.71,0.66,2.13,4.43,1,1593
61.51,15.57,6.49,4.97,99.82,3177.0,45.0,4.0,15.0,31.0,3.6,2.47,47.7,37.9,18.5,11.8,3.7,12.5,0.27,1.62,0.09,4.1,6.0,4.0,1.46,1.56,63.53,0.55,16.08,6.7,2.33,5.13,3.6,2,844
65.8,15.25,4.22,3.12,99.7,2638.0,123.0,14.0,33.0,57.0,3.5,2.07,104.8,70.0,18.2,9.9,2.3,34.6,0.43,6.71,0.11,9.2,15.7,10.6,1.71,1.83,67.16,0.45,15.56,4.31,1.46,3.18,3.4,1,694
51.67,18.76,6.39,12.11,100.46,5485.43,9.0,4.0,10.0,22.0,3.5,2.3,32.9,27.4,17.9,11.0,2.6,2.57,0.39,1.74,0.44,2.91,4.43,2.99,1.52,1.63,54.32,0.96,19.72,6.72,1.51,12.73,3.08,1,1007
66.78,16.3,3.42,2.92,99.88,2578.0,92.0,5.0,19.0,34.0,2.1,0.79,60.0,42.3,10.6,3.8,4.0,44.5,0.25,5.82,0.05,9.0,23.5,15.9,2.6,2.8,67.95,0.44,16.59,3.48,1.51,2.97,3.89,0,1537
58.3,16.7,5.91,3.36,99.31,5755.0,164.0,26.0,44.0,85.0,7.0,4.7,142.3,105.7,35.9,22.5,1.7,23.43,0.59,5.53,0.16,6.3,9.4,6.3,1.49,1.6,60.48,1.0,17.33,6.13,1.59,3.49,3.53,1,466
64.63,15.22,3.93,2.24,95.97,4676.0,47.0,13.0,31.0,63.0,6.5,3.9,100.0,78.0,33.3,18.7,2.4,7.15,0.42,3.33,0.28,4.8,7.9,5.4,1.67,1.79,67.34,0.81,15.86,4.1,1.39,2.33,5.24,1,94
63.99,15.52,5.79,5.17,100.28,4077.0,38.0,7.0,19.0,38.0,4.2,2.92,60.5,47.0,21.6,14.0,2.8,8.9,0.36,2.34,0.18,4.5,6.4,4.3,1.4,1.5,64.66,0.69,15.68,5.85,2.32,5.22,3.27,0,2181
49.81,19.67,5.46,4.82,97.64,3777.0,54.0,18.0,47.0,82.0,6.9,2.12,150.7,101.1,35.3,10.1,2.6,7.8,0.38,8.35,0.33,6.8,22.0,14.9,3.2,3.5,54.04,0.68,21.34,5.92,2.39,5.23,7.92,1,1376
57.68,23.76,0.66,5.81,98.46,719.0,9.0,0.0,1.0,2.0,0.1,0.05,3.2,2.1,0.7,0.2,5.0,65.0,0.2,4.0,0.02,7.1,20.0,13.5,2.8,3.0,59.74,0.12,24.62,0.69,0.19,6.02,7.29,1,1998
69.0,15.65,2.17,2.76,99.55,1858.0,48.0,13.0,36.0,55.0,2.4,0.39,116.1,67.7,12.3,1.9,2.9,19.96,0.35,32.05,0.26,15.1,92.3,62.2,6.13,6.57,70.52,0.32,15.99,2.22,0.72,2.82,4.94,0,611
66.31,15.43,3.97,2.56,99.72,2975.33,110.0,8.0,22.0,44.0,3.7,2.16,72.1,54.2,19.2,10.3,2.9,29.47,0.35,3.61,0.07,5.96,10.36,6.98,1.74,1.86,67.77,0.51,15.77,4.06,1.61,2.61,3.67,1,1044
65.4,15.1,4.76,2.26,100.25,3837.0,61.0,15.0,41.0,79.0,4.0,1.19,131.3,98.1,20.6,5.7,2.7,15.12,0.37,12.52,0.25,10.1,34.2,23.1,3.38,3.62,66.99,0.66,15.47,4.88,2.69,2.31,4.36,0,62
46.25,12.71,9.26,9.59,99.16,10746.0,43.0,41.0,127.0,253.0,16.0,1.51,410.7,313.1,81.9,7.2,3.1,2.71,0.33,27.42,0.96,8.0,84.1,56.7,10.56,11.31,46.74,1.81,12.85,9.36,10.8,9.7,4.19,2,404
49.81,17.88,10.49,5.99,99.98,6475.0,26.0,12.0,15.0,30.0,3.2,1.51,48.5,37.5,16.4,7.2,1.2,8.0,0.83,8.23,0.49,4.7,10.0,6.7,2.1,2.3,50.88,1.1,18.27,10.72,5.53,6.12,3.66,0,2784
50.58,16.26,9.28,8.3,100.34,7673.6,68.0,34.0,90.0,156.0,8.5,2.54,290.6,193.3,43.4,12.2,2.7,8.01,0.37,13.23,0.5,10.65,35.47,23.92,3.33,3.57,51.59,1.31,16.58,9.47,5.42,8.47,3.67,2,2661
49.14,16.58,6.26,16.6,98.93,6774.0,12.0,10.0,18.0,40.0,5.4,2.17,59.3,49.2,27.5,10.4,1.8,2.2,0.57,4.81,0.88,3.4,8.5,5.7,2.5,2.7,50.02,1.15,16.88,6.37,4.59,16.9,2.46,1,1680
66.34,14.17,2.44,2.15,98.85,2698.0,95.0,7.0,14.0,27.0,2.4,0.5,46.1,33.4,12.3,2.4,2.0,39.6,0.49,14.0,0.07,6.0,28.6,19.3,4.8,5.1,69.16,0.47,14.77,2.54,1.43,2.24,3.41,0,1395
63.43,17.77,4.11,1.07,99.75,2518.0,78.0,7.0,13.0,31.0,3.7,1.79,42.6,38.1,19.1,8.6,1.9,20.86,0.52,3.85,0.09,3.5,7.4,5.0,2.08,2.23,63.93,0.42,17.91,4.14,0.24,1.08,6.44,1,762
61.49,17.74,5.09,5.65,99.8,3357.0,49.0,4.0,19.0,30.0,2.4,0.66,61.9,37.4,12.5,3.2,4.6,19.9,0.22,6.36,0.09,7.9,29.1,19.6,3.7,4.0,62.36,0.57,17.99,5.16,2.13,5.73,3.92,0,1532
63.46,15.68,9.61,3.34,104.64,3237.0,13.0,22.0,11.0,27.0,2.9,2.43,34.4,33.5,14.6,11.6,0.5,4.6,2.05,8.98,1.68,3.7,4.4,3.0,1.2,1.3,61.33,0.52,15.15,9.29,2.23,3.23,3.04,1,2082
45.06,13.94,9.51,10.9,98.52,11570.35,48.0,44.0,101.0,188.0,11.7,1.58,325.8,232.7,60.2,7.6,2.3,4.09,0.44,27.97,0.92,8.61,63.92,43.1,7.42,7.96,46.55,1.99,14.4,9.83,8.62,11.26,3.54,2,1456
49.34,13.0,7.27,10.52,99.21,8933.0,50.0,40.0,136.0,256.0,18.2,1.3,439.0,316.8,93.3,6.2,3.4,2.7,0.3,31.14,0.81,7.5,104.7,70.6,14.0,15.0,50.19,1.52,13.22,7.39,7.52,10.7,5.29,2,1248
51.5,15.1,7.33,6.5,98.56,6295.0,72.0,18.0,45.0,86.0,6.0,1.54,145.8,106.7,30.7,7.4,2.5,12.1,0.41,11.95,0.25,7.5,29.4,19.8,3.9,4.2,54.01,1.1,15.84,7.69,7.41,6.82,4.14,1,1343
62.23,15.41,7.21,5.21,99.9,3177.0,31.0,4.0,10.0,20.0,2.5,1.94,33.2,25.3,13.0,9.3,2.7,12.0,0.37,1.99,0.13,4.1,5.3,3.6,1.3,1.4,63.0,0.54,15.6,7.3,2.3,5.27,4.3,0,2171
65.32,15.36,4.52,4.33,96.69,1739.0,56.0,6.0,19.0,40.0,3.1,1.7,61.3,49.3,15.9,8.1,3.3,17.9,0.31,3.41,0.1,6.1,11.2,7.5,1.8,2.0,67.56,0.3,15.89,4.67,1.54,4.48,3.6,0,2139
56.0,17.1,7.17,8.5,100.6,4376.0,47.0,5.0,12.0,24.0,2.4,1.59,38.1,29.7,12.3,7.6,2.2,19.6,0.46,3.41,0.12,4.9,7.4,5.0,1.5,1.6,56.19,0.73,17.16,7.19,5.58,8.53,2.96,1,1335
58.35,17.8,5.89,4.93,97.88,4256.0,69.0,26.0,53.0,75.0,6.5,1.91,171.6,93.1,33.4,9.1,2.0,10.5,0.49,13.68,0.38,8.2,27.9,18.8,3.4,3.7,60.17,0.73,18.36,6.07,1.39,5.08,4.21,1,1560
51.41,18.73,7.73,9.58,100.42,8693.0,33.0,28.0,29.0,72.0,5.9,2.3,93.5,89.1,30.3,11.0,1.0,5.59,0.97,12.17,0.85,4.9,12.6,8.5,2.57,2.75,51.39,1.45,18.72,7.73,4.89,9.58,4.11,2,545
66.97,15.26,3.35,3.19,99.55,2878.0,100.0,15.0,38.0,61.0,4.0,1.3,122.6,75.5,20.5,6.2,2.5,25.0,0.39,11.54,0.15,9.5,29.2,19.7,3.1,3.3,67.68,0.49,15.42,3.39,2.08,3.22,3.92,0,2051
59.5,15.71,6.58,6.92,100.23,5096.0,67.0,18.0,40.0,68.0,2.7,2.0,129.0,84.2,13.8,9.6,2.2,24.8,0.45,9.0,0.27,14.8,20.0,13.5,1.4,1.4,59.36,0.85,15.67,6.56,2.31,6.9,6.14,0,2255
65.28,15.78,4.16,4.12,99.75,2938.0,64.0,7.0,25.0,48.0,3.1,0.61,79.4,59.4,15.9,2.9,3.5,20.65,0.29,11.64,0.11,7.9,40.3,27.2,5.08,5.45,66.44,0.5,16.06,4.23,1.65,4.19,4.16,2,843
51.79,19.68,11.22,8.44,104.89,4316.4,7.0,5.0,8.0,17.0,2.4,1.75,24.3,21.0,12.3,8.4,1.7,3.08,0.6,2.57,0.61,3.14,4.31,2.9,1.37,1.47,51.25,0.71,19.47,11.1,4.47,8.35,3.98,1,1092
69.14,14.78,3.23,2.64,99.03,1619.0,114.0,8.0,22.0,37.0,2.2,1.22,71.0,45.8,11.1,5.8,2.7,52.8,0.37,6.67,0.07,10.2,18.0,12.2,1.8,1.9,70.48,0.28,15.07,3.29,0.68,2.69,3.94,0,2618
54.36,14.61,6.14,3.88,99.91,4496.0,117.0,12.0,34.0,72.0,6.0,1.76,109.0,89.1,30.7,8.4,2.8,19.6,0.36,6.82,0.1,5.7,19.2,12.9,3.4,3.6,58.3,0.8,15.67,6.59,3.85,4.16,5.66,1,1712
45.2,14.31,9.73,11.39,100.41,8393.0,42.0,28.0,52.0,106.0,7.0,2.18,168.4,131.4,35.6,10.4,1.9,5.99,0.54,12.94,0.68,7.51,23.94,16.14,3.19,3.42,45.65,1.41,14.45,9.83,10.85,11.5,3.56,2,2671
55.22,18.22,9.23,8.36,100.48,4017.0,10.0,2.0,6.0,14.0,2.1,1.55,20.5,17.7,10.9,7.4,3.0,4.6,0.33,1.36,0.22,3.0,4.1,2.8,1.4,1.5,55.53,0.67,18.32,9.28,3.85,8.41,3.13,0,1485
62.31,17.7,3.84,4.32,99.53,2698.0,51.0,6.0,23.0,44.0,3.6,0.92,75.0,54.7,18.5,4.4,4.0,14.3,0.25,6.32,0.11,6.5,25.3,17.0,3.91,4.19,64.34,0.46,18.28,3.96,1.79,4.46,3.93,0,352
70.47,12.5,3.1,1.8,98.13,2698.0,321.0,48.0,48.0,94.0,5.6,3.0,154.2,115.7,28.7,14.4,1.0,57.2,1.0,15.93,0.15,8.5,15.9,10.7,1.9,2.0,72.18,0.46,12.8,3.18,0.36,1.84,3.48,1,1905
61.65,14.91,5.92,3.48,101.91,4616.0,55.0,13.0,21.0,34.0,3.1,2.19,67.4,42.6,15.8,10.5,1.6,17.69,0.62,5.94,0.24,6.8,9.5,6.4,1.41,1.51,62.54,0.78,15.12,6.01,4.33,3.53,2.92,1,657
70.94,17.24,0.62,0.56,100.01,1439.0,76.0,11.0,19.0,37.0,4.2,1.11,62.6,45.2,21.4,5.3,1.7,18.23,0.58,10.18,0.15,4.7,17.5,11.8,3.76,4.03,73.3,0.25,17.81,0.64,0.24,0.58,4.57,1,904
41.47,12.92,13.86,12.45,100.0,16127.0,10.0,18.0,18.0,57.0,12.0,4.84,58.4,70.7,61.5,23.2,1.0,0.83,1.01,3.76,1.82,1.5,3.7,2.5,2.48,2.66,42.01,2.72,13.09,14.04,11.68,12.61,2.34,1,909
59.71,16.29,7.49,6.32,99.3,3717.0,0.0,2.0,5.0,12.0,1.7,1.54,17.5,14.4,8.9,7.4,2.3,0.3,0.43,1.52,5.32,3.1,3.5,2.4,1.1,1.2,61.0,0.63,16.64,7.65,3.43,6.46,3.85,1,2585
72.61,11.38,3.19,2.72,100.2,2578.0,72.0,12.0,29.0,43.0,3.3,1.2,93.5,53.2,17.0,5.7,2.4,21.8,0.42,10.08,0.17,8.8,24.2,16.3,2.8,3.0,73.31,0.43,11.49,3.22,0.96,2.75,4.28,1,2806
71.12,15.0,1.1,2.73,99.22,1457.0,35.0,9.0,15.0,19.0,1.1,0.22,49.7,23.5,5.8,1.1,1.7,30.97,0.58,40.91,0.26,13.6,70.0,47.2,5.14,5.51,72.0,0.25,15.19,1.11,0.96,2.76,4.75,0,808
48.76,14.91,8.63,7.93,100.28,10671.1,42.0,55.0,102.0,201.0,10.9,1.49,330.3,248.4,55.8,7.1,1.9,3.84,0.53,36.71,1.31,9.41,68.72,46.33,7.3,7.83,49.18,1.8,15.04,8.7,8.46,8.0,3.82,2,1849
65.08,16.79,3.07,4.05,99.17,2877.6,54.0,19.0,44.0,78.0,3.9,0.91,141.9,96.4,20.2,4.4,2.3,13.74,0.43,20.88,0.35,11.2,48.35,32.6,4.32,4.63,65.89,0.49,17.0,3.11,1.91,4.1,4.68,2,2566
46.68,14.33,15.44,9.48,101.11,22781.0,30.0,27.0,35.0,72.0,8.3,3.17,113.5,89.4,42.4,15.2,1.3,3.6,0.78,8.61,0.91,4.3,11.1,7.5,2.6,2.8,46.67,3.8,14.33,15.44,4.06,9.48,3.98,1,2760
45.38,13.88,8.51,9.63,94.96,7314.0,262.0,42.0,46.0,71.0,10.6,1.44,148.4,87.9,54.3,6.9,1.1,24.74,0.91,29.17,0.16,4.3,31.9,21.5,7.35,7.88,47.79,1.28,14.62,8.96,6.75,10.14,1.07,2,166
56.97,18.07,7.64,6.64,99.64,5036.0,24.0,4.0,11.0,26.0,4.1,2.74,35.2,31.6,20.9,13.1,3.1,6.0,0.32,1.28,0.14,2.7,4.0,2.7,1.5,1.6,58.23,0.86,18.47,7.81,2.44,6.79,3.57,1,2226
65.85,16.06,4.56,3.65,99.71,3462.69,64.0,8.0,21.0,45.0,4.7,2.72,69.2,55.8,23.9,13.0,2.8,13.75,0.35,2.79,0.12,4.6,7.89,5.32,1.71,1.84,66.5,0.58,16.22,4.61,1.51,3.69,4.41,1,1040
58.22,15.1,8.16,6.37,99.72,5695.0,60.0,8.0,24.0,53.0,4.8,2.9,77.4,65.6,24.6,13.9,3.0,12.5,0.33,2.76,0.13,5.0,8.3,5.6,1.66,1.77,59.59,0.97,15.46,8.35,3.84,6.52,2.5,1,474
